school,state,gender,2004,2005,2006,2007,2008,2009,2010
Secondary School,Tripura,Boy,64764,66855,70588,74349,74825,77999,83555
Secondary School,Tripura,Girl,54145,55913,57326,65432,65456,69581,74883
Secondary School,Uttar Pradesh,Total,5926059,6071716,6222169,9334365,9280198,9468888,9290761
Secondary School,Uttar Pradesh,Boy,3757509,3851575,3945832,5462237,5398027,5435215,5404151
Secondary School,Uttar Pradesh,Girl,2168550,2220141,2276337,3872128,3882171,4033673,3886610
Secondary School,Uttarakhand,Total,470618,511770,513585,519812,547008,577389,597650
Secondary School,Uttarakhand,Boy,266550,280732,281470,284111,286170,311581,317338
Secondary School,Uttarakhand,Girl,204068,231038,232115,235701,260838,265808,280312
Secondary School,West Bengal,Total,2202932,2534834,2500416,2715083,2753164,2980966,3321213
Secondary School,West Bengal,Boy,1280474,1477263,1443933,1520946,1543102,1535961,1712728
Secondary School,West Bengal,Girl,922458,1057571,1056483,1194137,1210062,1445005,1608485
Lower Secondary School,India,Total,24330661,24971520,25897719,28217697,29419840,30675872,31779027
Lower Secondary School,India,Boy,NA,NA,14929517,15898127,16464883,16916233,17452871
Lower Secondary School,India,Girl,NA,NA,10968202,12319570,12954957,13759639,14326156
Lower Secondary School,Andaman and Nicobar Islands,Total,12314,12483,13083,13175,12809,12699,13537
Lower Secondary School,Andaman and Nicobar Islands,Boy,NA,NA,6877,6882,6683,6587,7121
Lower Secondary School,Andaman and Nicobar Islands,Girl,NA,NA,6206,6293,6126,6112,6416
Lower Secondary School,Andhra Pradesh,Total,1768327,1903449,1982846,2038141,2136926,2171400,2138922
Lower Secondary School,Andhra Pradesh,Boy,NA,NA,1046190,1063713,1100848,1111874,1086560
Lower Secondary School,Andhra Pradesh,Girl,NA,NA,936656,974428,1036078,1059526,1052362
Lower Secondary School,Arunachal Pradesh,Total,27343,28605,32084,32819,33884,34511,36590
Lower Secondary School,Arunachal Pradesh,Boy,NA,NA,17755,17659,18172,18484,19527
Lower Secondary School,Arunachal Pradesh,Girl,NA,NA,14329,15160,15712,16027,17063
Lower Secondary School,Assam,Total,624501,636733,639248,580329,599312,656482,660241
Lower Secondary School,Assam,Boy,NA,NA,357695,312853,326747,352415,353487
Lower Secondary School,Assam,Girl,NA,NA,281553,267476,272565,304067,306754
Lower Secondary School,Bihar,Total,928831,973017,1086255,1264591,1476006,1682207,2048090
Lower Secondary School,Bihar,Boy,NA,NA,721816,813240,907998,998290,1181000
Lower Secondary School,Bihar,Girl,NA,NA,364439,451351,568008,683917,867090
Lower Secondary School,Chandigarh,Total,22427,22958,24435,25094,25345,26636,29389
Lower Secondary School,Chandigarh,Boy,NA,NA,13114,13925,14096,14690,15951
Lower Secondary School,Chandigarh,Girl,NA,NA,11321,11169,11249,11946,13438
Lower Secondary School,Chhattisgarh,Total,420855,381246,442929,459041,713641,537011,648775
Lower Secondary School,Chhattisgarh,Boy,NA,NA,251814,260414,389330,294062,341226
Lower Secondary School,Chhattisgarh,Girl,NA,NA,191115,198627,324311,242949,307549
Lower Secondary School,Dadra and Nagar Haveli,Total,5394,5446,5134,6105,5003,6748,8373
Lower Secondary School,Dadra and Nagar Haveli,Boy,NA,NA,3114,3650,3036,3950,4880
Lower Secondary School,Dadra and Nagar Haveli,Girl,NA,NA,2020,2455,1967,2798,3493
Lower Secondary School,Daman and Diu,Total,4493,4336,4193,4766,4709,4880,5078
Lower Secondary School,Daman and Diu,Boy,NA,NA,2169,2374,2444,2513,2706
Lower Secondary School,Daman and Diu,Girl,NA,NA,2024,2392,2265,2367,2372
Lower Secondary School,Delhi,Total,410271,409455,437817,449400,478284,517064,633842
Lower Secondary School,Delhi,Boy,NA,NA,234084,239817,257972,278930,340904
Lower Secondary School,Delhi,Girl,NA,NA,203733,209583,220312,238134,292938
Lower Secondary School,Goa,Total,38046,37543,38078,37798,37760,36976,34332
Lower Secondary School,Goa,Boy,NA,NA,19255,19207,19219,19033,17907
Lower Secondary School,Goa,Girl,NA,NA,18823,18591,18541,17943,16425
Lower Secondary School,Gujarat,Total,1226501,1191739,1226121,1290763,1311247,1359732,1451683
Lower Secondary School,Gujarat,Boy,NA,NA,726349,766946,795118,804921,850537
Lower Secondary School,Gujarat,Girl,NA,NA,499772,523817,516129,554811,601146
Lower Secondary School,Haryana,Total,539421,541057,589390,625381,618179,674132,674132
Lower Secondary School,Haryana,Boy,NA,NA,315282,341742,306143,335644,335644
Lower Secondary School,Haryana,Girl,NA,NA,274108,283639,312036,338488,338488
Lower Secondary School,Himachal Pradesh,Total,350717,350717,248786,249283,251525,223225,251959
Lower Secondary School,Himachal Pradesh,Boy,NA,NA,131165,131428,132610,111879,132339
Lower Secondary School,Himachal Pradesh,Girl,NA,NA,117621,117855,118915,111346,119620
Lower Secondary School,Jammu and Kashmir,Total,216161,219208,219208,219208,320689,321009,321009
Lower Secondary School,Jammu and Kashmir,Boy,NA,NA,124314,124314,175264,172248,172248
Lower Secondary School,Jammu and Kashmir,Girl,NA,NA,94894,94894,145425,148761,148761
Lower Secondary School,Jharkhand,Total,350135,372540,365202,419115,419115,495724,671328
Lower Secondary School,Jharkhand,Boy,NA,NA,220609,248056,248056,267635,358751
Lower Secondary School,Jharkhand,Girl,NA,NA,144593,171059,171059,228089,312577
Lower Secondary School,Karnataka,Total,1356575,1315875,1516442,1552447,1557709,1629891,1647351
Lower Secondary School,Karnataka,Boy,NA,NA,797526,808755,810049,845972,851421
Lower Secondary School,Karnataka,Girl,NA,NA,718916,743692,747660,783919,795930
Lower Secondary School,Kerala,Total,1057664,1045855,1029690,1018355,1007419,1036266,1053789
Lower Secondary School,Kerala,Boy,NA,NA,522215,514873,510399,526644,535480
Lower Secondary School,Kerala,Girl,NA,NA,507475,503482,497020,509622,518309
Lower Secondary School,Lakshadweep,Total,2949,2705,2491,2491,2645,2514,2291
Lower Secondary School,Lakshadweep,Boy,NA,NA,1313,1313,1333,1270,1135
Lower Secondary School,Lakshadweep,Girl,NA,NA,1178,1178,1312,1244,1156
Lower Secondary School,Madhya Pradesh,Total,1320948,1423520,1605863,1817813,1899022,1966651,2082173
Lower Secondary School,Madhya Pradesh,Boy,NA,NA,1008888,1128877,1167601,1214916,1288746
Lower Secondary School,Madhya Pradesh,Girl,NA,NA,596975,688936,731421,751735,793427
Lower Secondary School,Maharashtra,Total,2892033,2978861,2957600,2940311,2980913,3052614,3075676
Lower Secondary School,Maharashtra,Boy,NA,NA,1574925,1586947,1612691,1657513,1648662
Lower Secondary School,Maharashtra,Girl,NA,NA,1382675,1353364,1368222,1395101,1427014
Lower Secondary School,Manipur,Total,73565,75924,78353,78765,77696,80596,83959
Lower Secondary School,Manipur,Boy,NA,NA,39955,40048,39844,40400,43151
Lower Secondary School,Manipur,Girl,NA,NA,38398,38717,37852,40196,40808
Lower Secondary School,Meghalaya,Total,48037,51073,56824,57555,54742,55406,55600
Lower Secondary School,Meghalaya,Boy,NA,NA,27674,28011,26003,26364,27542
Lower Secondary School,Meghalaya,Girl,NA,NA,29150,29544,28739,29042,28058
Lower Secondary School,Mizoram,Total,26795,25066,27888,28137,28200,30421,31473
Lower Secondary School,Mizoram,Boy,NA,NA,13999,14084,14252,15189,15601
Lower Secondary School,Mizoram,Girl,NA,NA,13889,14053,13948,15232,15872
Lower Secondary School,Nagaland,Total,29921,35056,35056,32000,32000,32000,32000
Lower Secondary School,Nagaland,Boy,NA,NA,17628,16073,16073,16073,16073
Lower Secondary School,Nagaland,Girl,NA,NA,17428,15927,15927,15927,15927
Lower Secondary School,Odisha,Total,864018,867242,867041,877538,874518,908956,959653
Lower Secondary School,Odisha,Boy,NA,NA,472618,473329,476512,483478,506255
Lower Secondary School,Odisha,Girl,NA,NA,394423,404209,398006,425478,453398
Lower Secondary School,Puducherry,Total,38869,40240,40904,41251,40660,41112,43655
Lower Secondary School,Puducherry,Boy,NA,NA,20948,20905,20760,20567,22134
Lower Secondary School,Puducherry,Girl,NA,NA,19956,20346,19900,20545,21521
Lower Secondary School,Punjab,Total,551212,534081,524762,495933,579089,559183,652033
Lower Secondary School,Punjab,Boy,NA,NA,291690,262655,313332,298787,352436
Lower Secondary School,Punjab,Girl,NA,NA,233072,233278,265757,260396,299597
Lower Secondary School,Rajasthan,Total,1223388,1313886,1430189,1603483,1697934,1758944,1896236
Lower Secondary School,Rajasthan,Boy,NA,NA,949337,1045666,1092947,1104029,1161686
Lower Secondary School,Rajasthan,Girl,NA,NA,480852,557817,604987,654915,734550
Lower Secondary School,Sikkim,Total,10766,11504,11269,11634,11633,12589,12589
Lower Secondary School,Sikkim,Boy,NA,NA,5501,5767,5667,5883,5883
Lower Secondary School,Sikkim,Girl,NA,NA,5768,5867,5966,6706,6706
Lower Secondary School,Tamil Nadu,Total,1898649,1924961,2000625,2063012,1857810,1876194,1873989
Lower Secondary School,Tamil Nadu,Boy,NA,NA,1028864,1057914,955242,943659,950485
Lower Secondary School,Tamil Nadu,Girl,NA,NA,971761,1005098,902568,932535,923504
Lower Secondary School,Tripura,Total,87812,90155,91235,92788,93088,106841,113965
Lower Secondary School,Tripura,Boy,NA,NA,48633,47955,48317,54693,57879
Lower Secondary School,Tripura,Girl,NA,NA,42602,44833,44771,52148,56086
Lower Secondary School,Uttar Pradesh,Total,4113809,4214344,4318905,5727172,6071412,6456556,6076549
Lower Secondary School,Uttar Pradesh,Boy,NA,NA,2815525,3339349,3496983,3715957,3499996
Lower Secondary School,Uttar Pradesh,Girl,NA,NA,1503380,2387823,2574429,2740599,2576553
Lower Secondary School,Uttarakhand,Total,316041,331432,334167,338462,349063,343080,354105
Lower Secondary School,Uttarakhand,Boy,NA,NA,187076,190577,183201,186071,188834
Lower Secondary School,Uttarakhand,Girl,NA,NA,147091,147885,165862,157009,165271
Lower Secondary School,West Bengal,Total,1471873,1599208,1613606,1723541,1759853,1965622,2104661
Lower Secondary School,West Bengal,Boy,NA,NA,913600,948809,969941,965613,1058684
Lower Secondary School,West Bengal,Girl,NA,NA,700006,774732,789912,1000009,1045977
Senior Secondary School,India,Total,12744725,13414499,14040408,16257779,16890633,17758354,19416079
Senior Secondary School,India,Boy,NA,NA,8058031,9258131,9531787,9881928,10847867
Senior Secondary School,India,Girl,NA,NA,5982377,6999648,7358846,7876426,8568212
Senior Secondary School,Andaman and Nicobar Islands,Total,6323,6544,6946,7727,8354,8744,9044
Senior Secondary School,Andaman and Nicobar Islands,Boy,NA,NA,3427,3886,4130,4317,4566
Senior Secondary School,Andaman and Nicobar Islands,Girl,NA,NA,3519,3841,4224,4427,4478
Senior Secondary School,Andhra Pradesh,Total,1391722,1384886,1398616,1430572,1473913,1473913,1580561
Senior Secondary School,Andhra Pradesh,Boy,NA,NA,812559,813304,813363,813363,849508
Senior Secondary School,Andhra Pradesh,Girl,NA,NA,586057,617268,660550,660550,731053
Senior Secondary School,Arunachal Pradesh,Total,14176,13948,15330,17577,18461,20861,23029
